"Time","receive-packets","transmit-packets","total-packets"
1724514000000,1.6285691712096073,1.2214268784072055,2.849996049616813
1724514030000,3.5109575853672346,3.0579308001585592,6.568888385525794
1724514060000,2.495411805444569,2.495411805444569,4.990823610889138
1724514090000,3.1242812236448665,3.1242812236448665,6.248562447289733
1724514120000,3.0319796392608165,2.9877171627752572,6.019696802036074
1724514150000,1.8625126989502203,1.495654137035783,3.3581668359860033
1724514180000,0.34833275277874537,0.09499984166693057,0.44333259444567596
1724514210000,0,0.021104615579427218,0.021104615579427218
1724514240000,0,0,0
1724514270000,1.3323464100666174,1.2830002467308168,2.615346656797434
1724514300000,2.6847749818533755,2.545564427238756,5.230339409092132
1724514330000,3.095306651310106,3.0713120261061517,6.166618677416258
1724514360000,3.1525851197982346,3.1525851197982346,6.305170239596469
1724514390000,3.115523615669007,3.053213143355627,6.168736759024634
1724514420000,3.724878724878725,3.1762531762531765,6.901131901131901
1724514450000,3.284431793299759,3.0654696737464415,6.3499014670462
1724514480000,3.241701244813278,3.0564611736810905,6.2981624184943685
1724514510000,3.074589542296103,3.074589542296103,6.149179084592206
1724514540000,2.971831284892483,2.971831284892483,5.943662569784966
1724514570000,3.1661173539563494,3.062310227597125,6.228427581553474
1724514600000,3.109729009329187,3.109729009329187,6.219458018658374
1724514630000,3.0346042778131266,3.0346042778131266,6.069208555626253
1724514660000,2.550908649132039,2.550908649132039,5.101817298264078
1724514690000,3.178597443877888,3.090303070436836,6.2689005143147245
1724514720000,3.105590062111801,3.021084210081548,6.126674272193348
1724514750000,3.1119963011701106,3.1119963011701106,6.223992602340221
1724514780000,3.0779063509149625,3.0779063509149625,6.155812701829925
1724514810000,2.6168163851958317,2.533742849157869,5.1505592343537
1724514840000,3.09159968200689,3.09159968200689,6.18319936401378
1724514870000,3.0406339261033817,3.0406339261033817,6.081267852206763
1724514900000,3.0522446251531687,3.0522446251531687,6.1044892503063375
1724514930000,3.152749794791433,3.078128497873293,6.230878292664726
1724514960000,3.1636892835298336,3.121506759749436,6.285196043279269
1724514990000,3.082665771924674,3.082665771924674,6.165331543849348
1724515020000,3.123322434239422,3.123322434239422,6.246644868478844
1724515050000,3.145285417921435,3.0560574628030968,6.201342880724532
1724515080000,3.14070351758794,3.0264961169483784,6.167199634536319
1724515110000,3.0873130728412925,3.0873130728412925,6.174626145682585
1724515140000,2.5145868995584806,2.5145868995584806,5.029173799116961
1724515170000,3.1373733306489493,3.070263740688544,6.207637071337493
1724515200000,3.108105562567107,3.0327575489291165,6.140863111496223
1724515230000,3.065938681226376,3.065938681226376,6.131877362452752
1724515260000,3.107884899591411,3.107884899591411,6.215769799182822
1724515290000,3.1543530071498664,3.0608906958269073,6.215243702976774
1724515320000,3.0767079225229,3.030091135818008,6.106799058340908
1724515350000,3.0398857492604305,3.0398857492604305,6.079771498520861
1724515380000,3.0751239794702987,3.0751239794702987,6.150247958940597
1724515410000,3.110584451309831,3.0259426975326926,6.136527148842523
1724515440000,3.086896125945362,3.086896125945362,6.173792251890724
1724515470000,3.070494761166155,3.070494761166155,6.14098952233231
1724515500000,3.0583917564579113,3.0583917564579113,6.116783512915823
1724515530000,3.1708863847016926,3.0733206497877945,6.244207034489487
1724515560000,3.1432126252373784,3.055901163425229,6.199113788662608
1724515590000,3.098448826876608,3.098448826876608,6.196897653753216
1724515620000,3.1137362948425205,3.1137362948425205,6.227472589685041
1724515650000,3.1454101053812558,3.0652722683014786,6.210682373682735
1724515680000,3.1327223551845575,3.0548907438756245,6.187613099060182
1724515710000,3.0455362712361937,3.0455362712361937,6.0910725424723875
1724515740000,3.1061929722384005,3.1061929722384005,6.212385944476801
1724515770000,3.1671842809261705,3.0441868331232125,6.211371114049383
1724515800000,3.033391574451563,3.033391574451563,6.066783148903126
1724515830000,2.5046853379573677,2.5046853379573677,5.009370675914735
1724515860000,0.8624902969841589,0.8624902969841589,1.7249805939683178
1724515890000,0.7126567844925884,0.5986316989737742,1.3112884834663627
1724515920000,0.6710828246092565,0.5411958262977875,1.212278650907044
1724515950000,0.5898073910238687,0.552944429084877,1.1427518201087457
1724515980000,0.5263896687254351,0.5263896687254351,1.0527793374508703
1724516010000,0.6967758282130868,0.5700893139925255,1.2668651422056123
1724516040000,0.6288542680947744,0.5679974034404414,1.1968516715352158
1724516070000,0.49558831724578895,0.49558831724578895,0.9911766344915779
1724516100000,0.5703833369392051,0.5703833369392051,1.1407666738784101
1724516130000,0.5847824631860775,0.49481593038821947,1.079598393574297
1724516160000,0.5198458809858725,0.5198458809858725,1.039691761971745
1724516190000,0.5452946350043976,0.5452946350043976,1.0905892700087951
1724516220000,0.8863804923934082,0.7778441055697256,1.6642245979631338
1724516250000,0.9166444897838492,0.6209527188858334,1.5375972086696825
1724516280000,0,0,0
1724516310000,0,0,0
1724516340000,0.0523601329947378,0,0.0523601329947378
1724516370000,0.050229040622299055,0,0.050229040622299055
1724516400000,0.08756950829721093,0.02189237707430273,0.10946188537151366
1724516430000,0,0,0
1724516460000,0,0,0
1724516490000,0.09464991363195381,0,0.09464991363195381
1724516520000,0.10082474642576275,0,0.10082474642576275
1724516550000,0,0,0
1724516580000,0,0,0
1724516610000,0.09576417761516715,0,0.09576417761516715
1724516640000,0.06055468087683178,0,0.06055468087683178
1724516670000,0,0,0
1724516700000,0,0,0
1724516730000,0.10757893604432252,0,0.10757893604432252
1724516760000,0,0,0
1724516790000,0,0,0
1724516820000,0,0,0
1724516850000,0.0975609756097561,0,0.0975609756097561
1724516880000,0,0,0
1724516910000,0,0,0
