"Time","receive-packets","transmit-packets","total-packets"
1724514000000,1.3791723625807972,0.8463103134018529,2.2254826759826503
1724514030000,1.7491254372813592,1.3921610623259797,3.1412864996073386
1724514060000,1.4105631539477912,1.4105631539477912,2.8211263078955824
1724514090000,1.202348484848485,1.202348484848485,2.40469696969697
1724514120000,1.4482036112651755,1.3865779256794233,2.8347815369445986
1724514150000,2.00924251557163,1.4511195945795103,3.46036211015114
1724514180000,1.7582498935796116,1.3880920212470618,3.1463419148266736
1724514210000,1.4657980456026058,1.4657980456026058,2.9315960912052117
1724514240000,1.4629049111807733,1.4629049111807733,2.9258098223615465
1724514270000,1.5298941313261123,1.4686983660730677,2.99859249739918
1724514300000,1.6018944142638252,1.509030969958676,3.110925384222501
1724514330000,1.275339601274657,1.2554124200047405,2.5307520212793975
1724514360000,1.4493278741983406,1.4493278741983406,2.8986557483966813
1724514390000,1.5148906868652092,1.446032019280427,2.9609227061456362
1724514420000,2.066012844128043,1.5681784238562255,3.634191267984269
1724514450000,1.801656448316661,1.4789717113047218,3.280628159621383
1724514480000,1.618122977346278,1.4254892895669593,3.0436122669132373
1724514510000,1.4007134884331707,1.4007134884331707,2.8014269768663413
1724514540000,1.367316854316662,1.367316854316662,2.734633708633324
1724514570000,1.509219361753319,1.421728384260373,2.930947746013692
1724514600000,1.46529618376538,1.3791022906027106,2.8443984743680906
1724514630000,1.4251260688445515,1.4251260688445515,2.850252137689103
1724514660000,1.1521662015399614,1.1521662015399614,2.304332403079923
1724514690000,1.4932230645531817,1.3783597518952446,2.8715828164484263
1724514720000,1.2489296170184674,1.170871515954813,2.4198011329732805
1724514750000,1.4598836148340395,1.4598836148340395,2.919767229668079
1724514780000,1.398119630410115,1.398119630410115,2.79623926082023
1724514810000,1.4751377819664404,1.3931856829683047,2.868323464934745
1724514840000,1.4404033129276197,1.3980385096062191,2.838441822533839
1724514870000,1.4087724642095647,1.4087724642095647,2.8175449284191294
1724514900000,1.4495694778650738,1.4495694778650738,2.8991389557301477
1724514930000,1.5680017605633805,1.457966549295775,3.0259683098591554
1724514960000,1.5282730514518594,1.446765155374427,2.9750382068262864
1724514990000,1.4603656755651615,1.4603656755651615,2.920731351130323
1724515020000,1.40404620588423,1.40404620588423,2.80809241176846
1724515050000,1.3939868526017385,1.3082030462877852,2.7021898988895234
1724515080000,1.5514224378980028,1.4792632547399562,3.030685692637959
1724515110000,1.4324402963360863,1.4324402963360863,2.8648805926721725
1724515140000,1.5236398584186963,1.5236398584186963,3.0472797168373926
1724515170000,1.5334408052530177,1.4548028152400423,2.9882436204930602
1724515200000,1.5190916346970829,1.467597003012436,2.986688637709519
1724515230000,1.086706113094451,1.086706113094451,2.173412226188902
