"Time","receive-packets","transmit-packets","total-packets"
1724514420000,1.7483265165751625,1.3645909330975101,3.112917449672673
1724514450000,3.476358168857138,2.7018363328296013,6.17819450168674
1724514480000,2.6131333005410724,2.6131333005410724,5.226266601082145
1724514510000,2.5566354000880436,2.5566354000880436,5.113270800176087
1724514540000,2.12412630556617,2.12412630556617,4.24825261113234
1724514570000,2.6726057906458793,2.5612472160356345,5.233853006681514
1724514600000,2.633961642933575,2.551650341591901,5.185611984525476
1724514630000,2.5498007968127494,2.5498007968127494,5.099601593625499
1724514660000,2.5681842300753472,2.5681842300753472,5.1363684601506945
1724514690000,2.6485770654847163,2.5134455825518227,5.1620226480365385
1724514720000,2.7169257128870394,2.619018479990209,5.335944192877248
1724514750000,2.522157269470111,2.522157269470111,5.044314538940222
1724514780000,2.57768528591023,2.57768528591023,5.15537057182046
1724514810000,2.62117472313842,2.5338022323671394,5.15497695550556
1724514840000,2.664890073284477,2.5760604041749944,5.240950477459471
1724514870000,2.566144588974427,2.566144588974427,5.132289177948854
1724514900000,2.5517140407019303,2.572629729560143,5.124343770262073
1724514930000,2.733969571931246,2.6073969065640585,5.3413664784953045
1724514960000,2.5681960158256403,2.4756484116517434,5.043844427477383
1724514990000,2.1699640099463418,2.1699640099463418,4.3399280198926835
1724515020000,2.2143655217434968,2.2143655217434968,4.4287310434869935
1724515050000,2.5982641384266683,2.524554517478394,5.122818655905062
1724515080000,2.6352815061303794,2.5459499296513832,5.181231435781763
1724515110000,2.511005022010044,2.511005022010044,5.022010044020088
1724515140000,2.575572726040396,2.575572726040396,5.151145452080792
1724515170000,2.665200101531432,2.5805905744986886,5.24579067603012
1724515200000,2.5141718649937146,2.490453262493774,5.004625127487488
1724515230000,2.5781233756783166,2.5781233756783166,5.156246751356633
1724515260000,2.563040949508094,2.563040949508094,5.126081899016188
1724515290000,2.676887509886232,2.5552108048914035,5.232098314777636
1724515320000,2.5646897183421116,2.5646897183421116,5.129379436684223
1724515350000,2.5662959794696323,2.5662959794696323,5.132591958939265
1724515380000,2.508854781582054,2.538370720188902,5.047225501770956
1724515410000,2.6393298397276514,2.562827525532647,5.202157365260298
1724515440000,2.3061012159267675,2.201278433384642,4.507379649311409
1724515470000,2.6485730440734456,2.6485730440734456,5.297146088146891
1724515500000,2.6149067232937293,2.6149067232937293,5.229813446587459
1724515530000,2.7325119236883944,2.633147853736089,5.365659777424483
1724515560000,2.6438676006043127,2.6438676006043127,5.287735201208625
1724515590000,2.618725969032526,2.618725969032526,5.237451938065052
1724515620000,2.2402828887471444,2.2402828887471444,4.480565777494289
1724515650000,2.685891998869098,2.605113292136193,5.291005291005291
1724515680000,2.676325586075058,2.5958345910051315,5.27216017708019
1724515710000,2.5420414548298784,2.5420414548298784,5.084082909659757
1724515740000,2.568862792504965,2.568862792504965,5.13772558500993
1724515770000,2.6033484447237307,2.5135778086987743,5.1169262534225055
1724515800000,2.1884526473811694,2.097267120406954,4.285719767788123
1724515830000,2.3905385002516355,2.3186426055072253,4.70918110575886
1724515860000,1.4086611316244424,1.365974430666126,2.7746355622905683
1724515890000,0.3208933671341013,0.2888040304206912,0.6096973975547926
1724515920000,0.3025820573815347,0.2593560491841726,0.5619381065657073
1724515950000,0.24185551551503132,0.29022661861803756,0.5320821341330688
1724515980000,0.18289058570710073,0.2743358785606511,0.4572264642677518
1724516010000,0.29855202268995373,0.2798925212718316,0.5784445439617854
1724516040000,0.30029428840263456,0.30029428840263456,0.6005885768052691
1724516070000,0.20627594564628832,0.30941391846943245,0.5156898641157208
1724516100000,0.21866048586359957,0.32799072879539937,0.5466512146589989
1724516130000,0.30864197530864196,0.3472222222222222,0.6558641975308641
1724516160000,0.25821596244131456,0.352112676056338,0.6103286384976525
1724516190000,0.20875083500334002,0.31312625250501,0.52187708750835
1724516220000,1.5215807295015216,1.6287343020016287,3.1503150315031503
1724516250000,1.9731649565903713,1.9731649565903713,3.9463299131807426
1724516280000,0.3181827616472151,0.3181827616472151,0.6363655232944302
1724516310000,0.25851611748563247,0.3778312486328475,0.63634736611848
1724516340000,0.2818241065295123,0.3875081464780794,0.6693322530075917
1724516370000,0.3479328694228408,0.368399508800655,0.7163323782234958
1724516400000,0.24999305574845143,0.3333240743312686,0.58331713007972
1724516430000,0.2582285521323719,0.357547226029438,0.6157757781618098
1724516460000,0.30221147692526495,0.39109720543269577,0.6933086823579607
1724516490000,0.38361944950608995,0.35165116204724917,0.7352706115533392
1724516520000,0.264060629886865,0.35208083984915334,0.6161414697360184
1724516550000,0.30195060088169573,0.4026008011755943,0.70455140205729
1724516580000,0.27392064729556037,0.3792747424092374,0.6531953897047977
1724516610000,0.3442656813017833,0.3442656813017833,0.6885313626035666
1724516640000,0.33088983913663206,0.35634290368560373,0.6872327428222358
1724516670000,0.25759917568263785,0.351271603203597,0.6088707788862349
1724516700000,0.264819718883683,0.3666734569158688,0.6314931757995518
1724516730000,0.3544074504321802,0.37409675323396796,0.7285042036661482
1724516760000,0.3446248656976626,0.3648969166210545,0.7095217823187171
1724516790000,0.2792571759120739,0.37899188159495745,0.6582490575070313
