"Time","request","limit","usage"
1724526660000,0.8,1,0.2248583418298649
1724526690000,0.8,1,0.7301287278174908
1724526720000,0.8,1,0.9977056662916854
1724526750000,0.8,1,0.9931075794717963
1724526780000,0.8,1,0.993602123686975
1724526810000,0.8,1,0.9948289634114347
1724526840000,0.8,1,0.8475316582806958
1724526870000,0.8,1,0.9970575586009104
1724526900000,0.8,1,0.7400864801861701
1724526930000,0.8,1,0.023542006595908004
1724526960000,0.8,1,0.0001781119334148828
1724526990000,0.8,1,0.00017468133466859605
1724527020000,0.8,1,0.00017270214014107724
1724527050000,0.8,1,0.0001700259672759078
1724527080000,0.8,1,0.00017273493164381162
1724527110000,0.8,1,0.00017422660344347833
1724527140000,0.8,1,0.00017477549620167584
1724527170000,0.8,1,0.00017444869284487471
1724527200000,0.8,1,0.00017833637605225357
1724527230000,0.8,1,0.0001675035622569576
1724527260000,0.8,1,0.00017170776773880932
1724527290000,0.8,1,0.00017843865890696661
1724527320000,0.8,1,0.00018199396226397326
1724527350000,0.8,1,0.00017453378742116938
1724527380000,0.8,1,0.00014991921823109654
1724527410000,0.8,1,0.00017427630587910631
1724527440000,0.8,1,0.00017274333049910733
1724527470000,0.8,1,0.0001728725312423987
1724527500000,0.8,1,0.00017094765396254613
1724527530000,0.8,1,0.00017088301855576997
1724527560000,0.8,1,0.00017733432003802667
1724527590000,0.8,1,0.00017910105373561115
1724527620000,0.8,1,0.00017585717117267843
1724527650000,0.8,1,0.000177137566241011
1724527680000,0.8,1,0.00017119396707900234
1724527710000,0.8,1,0.00017057220919400825
1724527740000,0.8,1,0.0001752711737605826
1724527770000,0.8,1,0.00014708715755826037
1724527800000,0.8,1,0.0001703185315006746
1724527830000,0.8,1,0.00017113536423210465
1724527860000,0.8,1,0.00017166175738180065
1724527890000,0.8,1,0.00016988918831983553
1724527920000,0.8,1,0.00017568177062192176
1724527950000,0.8,1,0.00017508414526147014
1724527980000,0.8,1,0.00017858290218559356
1724528010000,0.8,1,0.00017459306964954973
1724528040000,0.8,1,0.00017720109493037572
1724528070000,0.8,1,0.000179104353974767
1724528100000,0.8,1,0.00017507491990793097
1724528130000,0.8,1,0.00017659641581899824
1724528160000,0.8,1,0.00017581135738082253
1724528190000,0.8,1,0.00017441411800747414
1724528220000,0.8,1,0.00017286150600772816
1724528250000,0.8,1,0.00017353319824704077
1724528280000,0.8,1,0.00017430820296851447
1724528310000,0.8,1,0.00017417464085506785
1724528340000,0.8,1,0.00016892386549723933
1724528370000,0.8,1,0.0001728984203346847
1724528400000,0.8,1,0.00018428940971525036
1724528430000,0.8,1,0.00017696748191102003
1724528460000,0.8,1,0.00017643267255790723
1724528490000,0.8,1,0.00016831258444970543
1724528520000,0.8,1,0.00015432149208148525
1724528550000,0.8,1,0.00013358434044333502
1724528580000,0.8,1,0.000166159292217796
1724528610000,0.8,1,0.00016773808424481944
1724528640000,0.8,1,0.0001342903116322124
1724528670000,0.8,1,0.00017371223833415728
1724528700000,0.8,1,0.00017436860921688516
1724528730000,0.8,1,0.0001515992046290618
1724528760000,0.8,1,0.000176074199473118
1724528790000,0.8,1,0.00017266286208363825
1724528820000,0.8,1,0.00017098734611420364
1724528850000,0.8,1,0.0001700143447030652
1724528880000,0.8,1,0.00017292093796056435
1724528910000,0.8,1,0.00016906218327226796
1724528940000,0.8,1,0.00013917320408303658
1724528970000,0.8,1,0.0001677606470783339
1724529000000,0.8,1,0.0001672715272823673
1724529030000,0.8,1,0.00016415788657534095
1724529060000,0.8,1,0.00017927096230307358
1724529090000,0.8,1,0.0001742976730598815
1724529120000,0.8,1,0.00016853672306638146
1724529150000,0.8,1,0.00017291595072959249
1724529180000,0.8,1,0.00017395156267675422
1724529210000,0.8,1,0.00011793642499995372
1724529240000,0.8,1,0.0001785729591383001
1724529270000,0.8,1,0.00017333278355767317
1724529300000,0.8,1,0.0001727958405181936
1724529330000,0.8,1,0.00017296732077049117
1724529360000,0.8,1,0.0001479636625617901
1724529390000,0.8,1,0.0001400782922982452
1724529420000,0.8,1,0.0001718828193830532
1724529450000,0.8,1,0.0001737522514426834
1724529480000,0.8,1,0.00017184767485276816
1724529510000,0.8,1,0.00018155678451500798
1724529540000,0.8,1,0.00018006639432223003
1724529570000,0.8,1,0.00018216897608816014
1724529600000,0.8,1,0.0001765996031174942
1724529630000,0.8,1,0.0001747463116492145
1724529660000,0.8,1,0.00016567587837092648
1724529690000,0.8,1,0.0001645743959429229
1724529720000,0.8,1,0.00018040899967488607
1724529750000,0.8,1,0.00017146511299754832
1724529780000,0.8,1,0.0001715103490133995
1724529810000,0.8,1,0.0001700582908086022
1724529840000,0.8,1,0.0001713922127649936
1724529870000,0.8,1,0.00017424214883785924
1724529900000,0.8,1,0.00017046851294430016
1724529930000,0.8,1,0.0001552297674637285
1724529960000,0.8,1,0.00017431042718023238
1724529990000,0.8,1,0.0001658950551482202
1724530020000,0.8,1,0.00017270019838455165
1724530050000,0.8,1,0.00018160326619897136
1724530080000,0.8,1,0.00017940496700270676
1724530110000,0.8,1,0.00018085830116680425
1724530140000,0.8,1,0.00018107431618786347
1724530170000,0.8,1,0.00017546676300599773
1724530200000,0.8,1,0.00017629718568949425
1724530230000,0.8,1,0.00017159182262374824
1724530260000,0.8,1,0.0001691042934874621
1724530290000,0.8,1,0.0001694746579469879
1724530320000,0.8,1,0.00017679174744353955
1724530350000,0.8,1,0.00017324007736902372
1724530380000,0.8,1,0.00017720050183519511
1724530410000,0.8,1,0.00017375801443311208
1724530440000,0.8,1,0.00017256339119968393
1724530470000,0.8,1,0.00017777828152422704
1724530500000,0.8,1,0.0001785081743603348
1724530530000,0.8,1,0.00017725951587208296
1724530560000,0.8,1,0.00017527401216879034
1724530590000,0.8,1,0.00017009561968167557
1724530620000,0.8,1,0.0001724910306107362
1724530650000,0.8,1,0.00017349383265533817
1724530680000,0.8,1,0.00014761295513137515
1724530710000,0.8,1,0.00017076153815974424
1724530740000,0.8,1,0.00017053847865694348
1724530770000,0.8,1,0.00017415540407810193
1724530800000,0.8,1,0.00018024569262621652
1724530830000,0.8,1,0.00017312568248930663
1724530860000,0.8,1,0.0001760733459359609
1724530890000,0.8,1,0.0001759009231210739
1724530920000,0.8,1,0.0001798166168503369
1724530950000,0.8,1,0.0001784648854587075
1724530980000,0.8,1,0.00017493619280148603
1724531010000,0.8,1,0.00017594130239593188
1724531040000,0.8,1,0.00018101067752959924
1724531070000,0.8,1,0.00017630069669032682
1724531100000,0.8,1,0.00017383551042867495
1724531130000,0.8,1,0.00015056031980125394
1724531160000,0.8,1,0.00017339564853838176
1724531190000,0.8,1,0.00016795270095628154
1724531220000,0.8,1,0.00017407083938691465
1724531250000,0.8,1,0.0001777753000200323
1724531280000,0.8,1,0.00017245573927609408
1724531310000,0.8,1,0.00017799648114123786
1724531340000,0.8,1,0.00017329458458681746
1724531370000,0.8,1,0.0001670681200032598
1724531400000,0.8,1,0.00017142891695736898
1724531430000,0.8,1,0.0001752659176036997
1724531460000,0.8,1,0.00014493501988178042
1724531490000,0.8,1,0.0001755760841972754
1724531520000,0.8,1,0.0001803497349064041
1724531550000,0.8,1,0.00017203054595709005
1724531580000,0.8,1,0.00017354552084606852
1724531610000,0.8,1,0.00016606275081257002
1724531640000,0.8,1,0.00016802303132240057
1724531670000,0.8,1,0.0001474509994887409
1724531700000,0.8,1,0.00016984456700375967
1724531730000,0.8,1,0.00017245519051852526
1724531760000,0.8,1,0.00017595663441016552
1724531790000,0.8,1,0.0001752666257330696
1724531820000,0.8,1,0.00014661939092669644
1724531850000,0.8,1,0.00016735563808249691
1724531880000,0.8,1,0.00017728176164917884
1724531910000,0.8,1,0.0001707195425161829
1724531940000,0.8,1,0.00017091516201517482
1724531970000,0.8,1,0.00017086964989244163
1724532000000,0.8,1,0.00017221146737534626
1724532030000,0.8,1,0.00016964617557800298
1724532060000,0.8,1,0.0001757961917522078
1724532090000,0.8,1,0.0001766984876738205
