"Time","receive-packets","transmit-packets","total-packets"
1724514000000,1.2225002602540078,0.7929731417863835,2.0154734020403913
1724514030000,2.0162615880251593,1.6656073988033924,3.681868986828552
1724514060000,1.6548585613073383,1.6548585613073383,3.3097171226146767
1724514090000,1.6187050359712227,1.6187050359712227,3.2374100719424455
1724514120000,1.687820685930327,1.6203078584931139,3.308128544423441
1724514150000,0.9323719542516161,0.5387037957898226,1.4710757500414386
1724514180000,0.2247787972290905,0.081737744446942,0.3065165416760325
1724514210000,0,0.04336419418486156,0.04336419418486156
1724514240000,0,0,0
1724514270000,0.7262164124909223,0.6390704429920117,1.365286855482934
1724514300000,1.7993494659623062,1.5917322198897323,3.3910816858520385
1724514330000,1.668286065228152,1.6132876235173337,3.2815736887454854
1724514360000,1.637203500497008,1.637203500497008,3.274407000994016
1724514390000,1.6013285095783167,1.6013285095783167,3.2026570191566335
1724514420000,2.2466300549176235,1.6537693459810285,3.9003994008986522
1724514450000,2.1368407949877595,1.6181901165926722,3.7550309115804317
1724514480000,1.790619595075796,1.5871400956353645,3.3777596907111604
1724514510000,1.6048107430089282,1.6048107430089282,3.2096214860178565
1724514540000,1.5218014600471976,1.5218014600471976,3.0436029200943953
1724514570000,1.6978922716627636,1.6198282591725215,3.317720530835285
1724514600000,1.7344418679184812,1.6590313519220254,3.393473219840507
1724514630000,1.5830592105263157,1.5830592105263157,3.1661184210526314
1724514660000,1.67348456675344,1.6941448700466923,3.367629436800132
1724514690000,1.4384594870944563,1.3298965069363842,2.7683559940308404
1724514720000,1.2889342838203377,1.2889342838203377,2.5778685676406754
1724514750000,1.6015236116521663,1.6015236116521663,3.2030472233043326
1724514780000,1.5980995572832308,1.5980995572832308,3.1961991145664617
1724514810000,1.731427420978458,1.6508959130259715,3.3823233340044294
1724514840000,1.8077053440289232,1.6947237600271154,3.5024291040560387
1724514870000,1.6441239011771926,1.6441239011771926,3.2882478023543853
1724514900000,1.6114477246358128,1.6114477246358128,3.2228954492716255
1724514930000,1.8043684710351378,1.6777461221905667,3.4821145932257043
1724514960000,1.7126915742637192,1.6420651175930503,3.3547566918567693
1724514990000,1.3403813190693987,1.3403813190693987,2.6807626381387974
1724515020000,1.6280865808094511,1.6280865808094511,3.2561731616189022
1724515050000,1.7238268957084726,1.6436489005592412,3.3674757962677138
1724515080000,1.6837892579125893,1.610581029307694,3.2943702872202834
1724515110000,1.6213470854821068,1.6213470854821068,3.2426941709642136
1724515140000,1.639585479158346,1.639585479158346,3.279170958316692
1724515170000,1.325713033163134,1.2441306926607874,2.5698437258239215
1724515200000,1.6676230096112465,1.595897288767752,3.2635202983789986
1724515230000,1.3567135385406843,1.3567135385406843,2.7134270770813687
1724515260000,1.5842969425126536,1.5842969425126536,3.1685938850253073
1724515290000,1.7036811682385153,1.6225534935604906,3.326234661799006
1724515320000,1.6594450078362681,1.59798408162011,3.2574290894563784
1724515350000,1.5791669149633516,1.5791669149633516,3.158333829926703
1724515380000,1.3554509834755146,1.3554509834755146,2.7109019669510293
1724515410000,1.647812482642425,1.5737534946584957,3.2215659773009206
1724515440000,1.7008848037110214,1.632162185379263,3.3330469890902843
1724515470000,1.5941531368028647,1.5941531368028647,3.1883062736057295
1724515500000,1.6330974414806751,1.6330974414806751,3.2661948829613503
1724515530000,1.7297869309509757,1.648385193023871,3.3781721239748466
1724515560000,1.6476380623776385,1.5701021535598674,3.217740215937506
1724515590000,1.6570191330475894,1.6570191330475894,3.314038266095179
1724515620000,1.6241908901999187,1.6241908901999187,3.2483817803998374
1724515650000,1.5017342047930282,1.412078431372549,2.913812636165577
1724515680000,1.6409224171881152,1.6190434516256071,3.2599658688137225
1724515710000,1.5976035946080878,1.5976035946080878,3.1952071892161755
1724515740000,1.5503542128722465,1.5503542128722465,3.100708425744493
1724515770000,1.6681665532606071,1.580368313615312,3.248534866875919
1724515800000,1.595618004286735,1.595618004286735,3.19123600857347
1724515830000,1.0408106955627463,1.0408106955627463,2.0816213911254926
1724515860000,0.16131017068337275,0.16131017068337275,0.3226203413667455
1724515890000,0.11740534194305842,0,0.11740534194305842
1724515920000,0.14016399187048847,0,0.14016399187048847
1724515950000,0.043605703938433674,0,0.043605703938433674
1724515980000,0,0,0
1724516010000,0.1256702412868633,0,0.1256702412868633
1724516040000,0.08541533205210336,0,0.08541533205210336
1724516070000,0,0,0
1724516100000,0,0.026928773394371885,0.026928773394371885
1724516130000,0.09999999999999999,0,0.09999999999999999
1724516160000,0.08601026045777428,0,0.08601026045777428
1724516190000,0,0,0
1724516220000,0.05067054014795797,0,0.05067054014795797
1724516250000,0.15675385166606953,0,0.15675385166606953
1724516280000,0,0,0
1724516310000,0,0,0
1724516340000,0.02673439379762064,0,0.02673439379762064
1724516370000,0.16455101081335213,0,0.16455101081335213
1724516400000,0.08232485387338437,0,0.08232485387338437
1724516430000,0,0,0
1724516460000,0,0,0
1724516490000,0.07621660759879578,0,0.07621660759879578
1724516520000,0,0,0
1724516550000,0,0,0
1724516580000,0,0,0
1724516610000,0.09602458229306703,0,0.09602458229306703
1724516640000,0.06418210602883916,0,0.06418210602883916
1724516670000,0,0,0
1724516700000,0,0,0
1724516730000,0.10002250506363933,0,0.10002250506363933
1724516760000,0.026228132294699294,0,0.026228132294699294
1724516790000,0.021867961249972666,0,0.021867961249972666
1724516820000,0,0,0
1724516850000,0.10928364570242065,0,0.10928364570242065
1724516880000,0,0.02444031674650504,0.02444031674650504
1724516910000,0,0.01679909956826314,0.01679909956826314
1724516940000,0,0,0
1724516970000,0.10243015543776088,0,0.10243015543776088
1724517000000,0.11141440588268063,0,0.11141440588268063
1724517030000,0,0.022973190286935143,0.022973190286935143
1724517060000,0,0,0
1724517090000,0.10946907498631635,0,0.10946907498631635
1724517120000,0,0,0
1724517150000,0,0,0
1724517180000,0,0,0
1724517210000,0.11487980700192423,0,0.11487980700192423
1724517240000,0.08974200322495969,0,0.08974200322495969
1724517270000,0,0,0
1724517300000,0,0,0
1724517330000,0.09304436068425631,0,0.09304436068425631
1724517360000,0.07494987726957597,0,0.07494987726957597
1724517390000,0,0,0
1724517420000,0,0,0
1724517450000,0.11374946679937438,0,0.11374946679937438
1724517480000,0.06860475087899838,0,0.06860475087899838
1724517510000,0,0,0
1724517540000,0,0,0
1724517570000,0.10662117496534812,0,0.10662117496534812
1724517600000,0,0,0
1724517630000,0,0,0
1724517660000,0,0,0
1724517690000,0.08667013347200554,0,0.08667013347200554
1724517720000,0.6391137622496805,0,0.6391137622496805
1724517750000,0.3433437099432338,0,0.3433437099432338
1724517780000,0.11786892975011787,0,0.11786892975011787
1724517810000,0.0871500511733645,0,0.0871500511733645
1724517840000,0.12469087055009455,0,0.12469087055009455
1724517870000,0,0,0
1724517900000,0,0,0
1724517930000,0.07898894154818326,0,0.07898894154818326
1724517960000,0.12661433274246645,0,0.12661433274246645
1724517990000,0,0,0
1724518020000,0,0,0
1724518050000,0.08932758659192926,0,0.08932758659192926
1724518080000,0.10752110101607441,0,0.10752110101607441
1724518110000,0,0,0
1724518140000,0,0,0
1724518170000,0.0943062595779795,0,0.0943062595779795
1724518200000,0.10350359674998706,0,0.10350359674998706
1724518230000,0.10930156301235108,0,0.10930156301235108
1724518260000,0.097431700378035,0,0.097431700378035
1724518290000,0.07947388289523355,0,0.07947388289523355
1724518320000,0,0,0
1724518350000,0,0,0
1724518380000,0,0,0
1724518410000,0.072563674624483,0,0.072563674624483
1724518440000,0.0706202221005985,0,0.0706202221005985
1724518470000,0,0,0
1724518500000,0,0,0
1724518530000,0.1083130246412131,0,0.1083130246412131
1724518560000,0,0,0
1724518590000,0,0,0
1724518620000,0,0,0
1724518650000,0.0884134211573317,0,0.0884134211573317
1724518680000,0.10088403714096686,0,0.10088403714096686
1724518710000,0,0,0
