"time","receive_packets","transmit_packets","total_packets"
1724514030000,1.7288276243603335,1.406113134479738,3.1349407588400715
1724514060000,1.4171235765499788,1.4171235765499788,2.8342471530999576
1724514090000,1.4918895459230728,1.4918895459230728,2.9837790918461455
1724514120000,1.1844346147792884,1.1054723071273358,2.289906921906624
1724514150000,1.7466329966329965,1.3888888888888888,3.1355218855218854
1724514180000,1.7416545718432512,1.4513788098693758,3.193033381712627
1724514210000,1.4825522136357738,1.4825522136357738,2.9651044272715477
1724514240000,1.4473807078158558,1.4473807078158558,2.8947614156317116
1724514270000,1.6362786348761102,1.4875260317055548,3.1238046665816652
1724514300000,1.5657389846954528,1.4554756759140828,3.0212146606095356
1724514330000,1.4412930457610542,1.4412930457610542,2.8825860915221084
1724514360000,1.4465027296906352,1.4465027296906352,2.8930054593812704
1724514390000,1.5276381909547736,1.4673366834170851,2.9949748743718585
1724514420000,2.1307930937235606,1.5354244351831539,3.6662175289067145
1724514450000,1.7056237538136303,1.4653950560934006,3.171018809907031
1724514480000,1.6621499548328815,1.4814814814814814,3.143631436314363
1724514510000,1.484461044869032,1.484461044869032,2.968922089738064
1724514540000,1.3669205233352861,1.3669205233352861,2.7338410466705723
1724514570000,1.3228818469182495,1.230048033099425,2.5529298800176745
1724514600000,1.489073680139238,1.4117192032488879,2.900792883388126
1724514630000,1.4245271110950828,1.4245271110950828,2.8490542221901656
1724514660000,1.4392515891736297,1.4392515891736297,2.8785031783472594
1724514690000,1.3086111708611172,1.2268229726822975,2.535434143543415
1724514720000,1.4466472422013488,1.4058966156604658,2.8525438578618143
1724514750000,1.1773477958822787,1.1773477958822787,2.3546955917645573
1724514780000,1.4382576535853708,1.4382576535853708,2.8765153071707417
1724514810000,1.2698234433765148,1.1569502484097134,2.426773691786228
1724514840000,1.5668796462333956,1.4972405508452447,3.0641201970786405
1724514870000,1.4857142857142858,1.4857142857142858,2.9714285714285715
1724514900000,1.4310747663551402,1.4310747663551402,2.8621495327102804
1724514930000,1.4942204680011277,1.4096419509444602,2.9038624189455877
1724514960000,1.5085961516566095,1.480132073323466,2.9887282249800755
1724514990000,1.456508651661391,1.456508651661391,2.913017303322782
1724515020000,1.4145466061437773,1.4145466061437773,2.8290932122875545
1724515050000,1.5146007512419726,1.4338220445090673,2.94842279575104
1724515080000,1.5159422450856137,1.441387708442059,2.9573299535276725
1724515110000,1.441753171856978,1.441753171856978,2.883506343713956
1724515140000,1.4364688982718845,1.4364688982718845,2.872937796543769
1724515170000,1.510603652914288,1.4321307358797795,2.942734388794068
1724515200000,1.535275635532705,1.4638674664381606,2.9991431019708656
1724515230000,1.4791241791981353,1.4791241791981353,2.9582483583962706
1724515260000,1.4915478952601922,1.4915478952601922,2.9830957905203843
1724515290000,1.5062802167099927,1.4091008478899931,2.915381064599986
1724515320000,1.5194040559647162,1.434992719522232,2.9543967754869485
1724515350000,1.2424549980295339,1.2424549980295339,2.4849099960590677
1724515380000,1.4244048022790476,1.4244048022790476,2.8488096045580953
1724515410000,1.5105740181268883,1.435977770318153,2.946551788445041
1724515440000,1.5168752370117558,1.4479263626021304,2.964801599613886
1724515470000,1.4058570777973585,1.4058570777973585,2.811714155594717
1724515500000,1.1672147780534878,1.1672147780534878,2.3344295561069757
1724515530000,1.4926103552902026,1.394734266418714,2.8873446217089165
1724515560000,1.4909301747701482,1.4495154476931997,2.940445622463348
1724515590000,1.4667168108311397,1.4667168108311397,2.9334336216622794
1724515620000,1.167567167071322,1.167567167071322,2.335134334142644
1724515650000,1.5629668788930515,1.4710276507228721,3.0339945296159234
1724515680000,1.5085520025496655,1.4235631573355998,2.9321151598852655
1724515710000,1.4513366810832777,1.4513366810832777,2.9026733621665555
1724515740000,1.4118676423798917,1.4118676423798917,2.8237352847597834
1724515770000,1.5069487079310155,1.432531487786274,2.9394801957172896
1724515800000,1.430251406413883,1.430251406413883,2.860502812827766
1724515830000,1.5603372341764186,1.5100037750094373,3.0703410091858556
1724515860000,1.5226218097447797,1.486368909512761,3.0089907192575405
1724515890000,1.5565337938079142,1.4592504316949195,3.0157842255028338
1724515920000,1.466692935793875,1.4229110571134609,2.889603992907336
1724515950000,1.465383141330568,1.465383141330568,2.930766282661136
1724515980000,1.4163896516837693,1.4163896516837693,2.8327793033675386
1724516010000,1.585001358572593,1.4491440992663709,3.0341454578389637
1724516040000,1.5035200056603106,1.4327661230410018,2.9362861287013127
1724516070000,1.4807727355567706,1.4807727355567706,2.961545471113541
1724516100000,1.4157621519584709,1.4157621519584709,2.8315243039169418
1724516130000,1.5880976262119693,1.4766521787584976,3.064749804970467
1724516160000,1.55679415721699,1.4799154334038054,3.0367095906207955
1724516190000,1.4705882352941175,1.4705882352941175,2.941176470588235
1724516220000,1.528940662540954,1.456133964324718,2.9850746268656723
1724516250000,1.5953269193010013,1.4235224818378165,3.0188494011388176
1724516280000,1.2696631787808417,1.1805640083400808,2.4502271871209222
1724516310000,1.4325858174004078,1.4325858174004078,2.8651716348008156
1724516340000,1.5042183514638878,1.482418085500643,2.986636436964531
1724516370000,1.5437629221226739,1.4334941419710543,2.9772570640937284
1724516400000,1.536253562693295,1.4553981120252266,2.9916516747185216
1724516430000,1.465801145989987,1.465801145989987,2.931602291979974
1724516460000,1.4287415168472437,1.4287415168472437,2.8574830336944874
1724516490000,1.5109326771568563,1.4245936670336075,2.935526344190464
1724516520000,1.4425142716837516,1.4425142716837516,2.885028543367503
1724516550000,1.4506483509976908,1.4506483509976908,2.9012967019953817
1724516580000,1.407815179135457,1.407815179135457,2.815630358270914
