"time","receive_packets","transmit_packets","total_packets"
1724514000000,1.0983606985440035,0.6590164191264022,1.7573771176704058
1724514030000,1.7714791851195746,1.4042213052777117,3.1757004903972863
1724514060000,1.4357925378124816,1.4357925378124816,2.8715850756249632
1724514090000,1.415321609250783,1.415321609250783,2.830643218501566
1724514120000,0.9750000000000001,0.9500000000000001,1.9250000000000003
1724514150000,1.8286531024045738,1.4713300823944846,3.2999831847990584
1724514180000,1.838888308431721,1.4209591474245116,3.2598474558562325
1724514210000,1.422475106685633,1.422475106685633,2.844950213371266
1724514240000,1.442466205077481,1.442466205077481,2.884932410154962
1724514270000,1.5481115707994126,1.4680368343787535,3.016148405178166
1724514300000,1.598082301238514,1.5040774599891895,3.1021597612277034
1724514330000,1.4915169970791127,1.4915169970791127,2.9830339941582253
1724514360000,1.4315670618598275,1.4315670618598275,2.863134123719655
1724514390000,1.4388489208633093,1.4388489208633093,2.8776978417266186
1724514420000,1.5499999999999998,1.0499999999999998,2.5999999999999996
1724514450000,1.985735127249149,1.4589074404279463,3.4446425676770955
1724514480000,1.5747124229447125,1.382674322585601,2.9573867455303136
1724514510000,1.4149274849663955,1.4149274849663955,2.829854969932791
1724514540000,1.3959787477862278,1.3959787477862278,2.7919574955724555
1724514570000,1.4992503748125938,1.4252133192662928,2.9244636940788866
1724514600000,1.1138738843391223,1.1138738843391223,2.2277477686782445
1724514630000,1.405510427647217,1.405510427647217,2.811020855294434
1724514660000,1.3630168105406635,1.3630168105406635,2.726033621081327
1724514690000,1.37963413203664,1.2735084295722832,2.6531425616089233
1724514720000,1.490030983183936,1.3954258413944798,2.885456824578416
1724514750000,1.4273288877985684,1.4273288877985684,2.8546577755971367
1724514780000,1.4235471445319043,1.4235471445319043,2.8470942890638087
1724514810000,1.562331645296843,1.4905003052831949,3.052831950580038
1724514840000,1.5080823789999527,1.5080823789999527,3.0161647579999054
1724514870000,1.3102928252831252,1.3102928252831252,2.6205856505662504
1724514900000,1.4551658387274826,1.4551658387274826,2.9103316774549652
1724514930000,1.4728207916978224,1.3821856660548795,2.855006457752702
1724514960000,1.5156840347948333,1.4278182936473067,2.9435023284421398
1724514990000,1.4538252459914458,1.4538252459914458,2.9076504919828916
1724515020000,1.460718515594157,1.460718515594157,2.921437031188314
1724515050000,1.5402051669524282,1.423963267559792,2.96416843451222
1724515080000,1.417704953788271,1.417704953788271,2.835409907576542
1724515110000,1.463365741204771,1.463365741204771,2.926731482409542
1724515140000,1.408450704225352,1.408450704225352,2.816901408450704
1724515170000,1.5234613040828764,1.4422100345317896,2.965671338614666
1724515200000,1.4295606334740556,1.4295606334740556,2.859121266948111
1724515230000,1.4524170821591156,1.4524170821591156,2.904834164318231
1724515260000,1.4391567319473344,1.4391567319473344,2.878313463894669
1724515290000,1.5535744162145366,1.4579698367551805,3.011544252969717
1724515320000,1.2152461124751548,1.2152461124751548,2.4304922249503096
1724515350000,1.444890955885673,1.444890955885673,2.889781911771346
1724515380000,1.3918177983973008,1.3918177983973008,2.7836355967946016
1724515410000,1.5387720094848896,1.4378689268957165,2.976640936380606
1724515440000,1.5267490560977122,1.4442220800924304,2.9709711361901423
1724515470000,1.4281947618210582,1.4281947618210582,2.8563895236421164
1724515500000,1.4708427063505798,1.4708427063505798,2.9416854127011596
1724515530000,1.527344017142727,1.4361592997013701,2.963503316844097
1724515560000,1.5326272768357139,1.4540310062287543,2.986658283064468
1724515590000,1.4656564401937648,1.4656564401937648,2.9313128803875297
1724515620000,1.4724537876042043,1.4724537876042043,2.9449075752084086
1724515650000,1.5534795843392464,1.4695077149155034,3.0229872992547495
1724515680000,1.5091741904736689,1.4297439699224233,2.938918160396092
1724515710000,1.4735269776548716,1.4735269776548716,2.9470539553097432
1724515740000,1.4845199726535796,1.4845199726535796,2.969039945307159
1724515770000,1.53790230126108,1.426054861169365,2.963957162430445
1724515800000,1.4683067375886525,1.4683067375886525,2.936613475177305
1724515830000,1.477822112441151,1.4567103679777058,2.9345324804188566
1724515860000,1.6334335969403002,1.613513675026394,3.246947271966694
1724515890000,1.653496710411808,1.5838757962892054,3.2373725067010133
1724515920000,1.7226350089244944,1.6396164542775309,3.3622514632020253
1724515950000,1.6018771292556915,1.6018771292556915,3.203754258511383
1724515980000,1.5760776963707614,1.5760776963707614,3.152155392741523
1724516010000,1.7075278790817294,1.5810443324830827,3.288572211564812
1724516040000,1.5989089797549907,1.5989089797549907,3.1978179595099814
1724516070000,1.5988591923600457,1.5988591923600457,3.1977183847200914
1724516100000,1.6330400885002372,1.6330400885002372,3.2660801770004744
1724516130000,1.7477494732809806,1.6519823788546255,3.399731852135606
1724516160000,1.7295123177476117,1.649069884364002,3.3785822021116134
1724516190000,1.6358031164146554,1.6358031164146554,3.2716062328293107
1724516220000,1.7603567656378358,1.8072996127215115,3.5676563783593473
1724516250000,1.0776978715467038,1.036247953410292,2.113945824956996
1724516280000,0.663890397730702,0.5834188343694048,1.2473092321001067
1724516310000,0.57641220991429,0.57641220991429,1.15282441982858
1724516340000,0.5977836023359544,0.574791925323033,1.1725755276589873
1724516370000,0.6697768950066978,0.5773938750057739,1.2471707700124717
1724516400000,0.6115272894052897,0.5503745604647607,1.1619018498700504
1724516430000,0.5949455495486174,0.5949455495486174,1.189891099097235
1724516460000,0.5679308386445384,0.5679308386445384,1.1358616772890768
1724516490000,0.6565096325809884,0.5659565798111968,1.2224662123921852
1724516520000,0.634794683594525,0.5554453481452093,1.1902400317397341
1724516550000,0.553653085078024,0.553653085078024,1.107306170156048
