"time","receive_packets","transmit_packets","total_packets"
1724514000000,0.9351378958120532,0.5610827374872319,1.4962206332992851
1724514030000,1.9211388259007307,1.4802217183169564,3.4013605442176873
1724514060000,1.16863534106633,1.16863534106633,2.33727068213266
1724514090000,1.4155833798548527,1.4155833798548527,2.8311667597097054
1724514120000,1.520895285224616,1.4527954963339615,2.9736907815585774
1724514150000,1.8396479053629229,1.443774305474699,3.283422210837622
1724514180000,1.731876280612743,1.3903795492243147,3.1222558298370577
1724514210000,1.4606940509915014,1.4606940509915014,2.921388101983003
1724514240000,1.4809104556335455,1.4809104556335455,2.961820911267091
1724514270000,1.5454911974197014,1.478295927966671,3.0237871253863724
1724514300000,1.5734544295729764,1.4738687061822817,3.047323135755258
1724514330000,1.4610173993890292,1.442043147448912,2.903060546837941
1724514360000,1.505155959777109,1.505155959777109,3.010311919554218
1724514390000,1.2262995130938283,1.2262995130938283,2.4525990261876567
1724514420000,1.9156640579371569,1.4484289218549236,3.3640929797920807
1724514450000,2.0695899624886818,1.5090760143146638,3.5786659768033457
1724514480000,1.6141900291296363,1.428650945321632,3.042840974451268
1724514510000,1.41660838847347,1.41660838847347,2.83321677694694
1724514540000,1.311491046092949,1.311491046092949,2.622982092185898
1724514570000,1.4938548244720582,1.4033181684434488,2.897172992915507
1724514600000,1.2464051586450213,1.1573762187418055,2.403781377386827
1724514630000,1.386331636521174,1.386331636521174,2.772663273042348
1724514660000,1.2259900768129224,1.2259900768129224,2.4519801536258448
1724514690000,1.4714474282128407,1.384891697141497,2.8563391253543378
1724514720000,1.5606936416184969,1.4836223506743738,3.0443159922928706
1724514750000,1.41398598490362,1.41398598490362,2.82797196980724
1724514780000,1.4005175825848684,1.4005175825848684,2.8010351651697367
1724514810000,1.55418452408986,1.4599915226298685,3.0141760467197285
1724514840000,1.2239164148185984,1.143659600732133,2.367576015550731
1724514870000,1.4541187275185592,1.4541187275185592,2.9082374550371184
1724514900000,1.465421684483439,1.465421684483439,2.930843368966878
1724514930000,1.5069025860392768,1.4096830643593234,2.9165856503986003
1724514960000,1.5336385574776157,1.4434245246848147,2.9770630821624304
1724514990000,1.4584445996466866,1.4584445996466866,2.916889199293373
1724515020000,1.4295118969246683,1.4295118969246683,2.8590237938493366
1724515050000,1.367082335815071,1.2759435134273995,2.6430258492424707
1724515080000,1.3958682300390843,1.3958682300390843,2.7917364600781687
1724515110000,1.4019023282226009,1.4019023282226009,2.8038046564452017
1724515140000,1.4896640234679377,1.4896640234679377,2.9793280469358754
1724515170000,1.5649092122523187,1.4728557291786528,3.0377649414309715
1724515200000,1.5405353360292704,1.4763463636947174,3.016881699723988
1724515230000,1.0666666666666667,1.0666666666666667,2.1333333333333333
1724515260000,1.476239063890758,1.476239063890758,2.952478127781516
1724515290000,1.5817658605378004,1.5055361805118823,3.087302041049683
1724515320000,1.5550549253374268,1.4753085189098665,3.0303634442472935
1724515350000,1.4159626185868692,1.4159626185868692,2.8319252371737385
1724515380000,1.24098976109215,1.24098976109215,2.4819795221843
1724515410000,1.4562051727885246,1.3692675505324932,2.8254727233210177
1724515440000,1.5197568389057752,1.4303593777936707,2.950116216699446
1724515470000,1.405417658392837,1.405417658392837,2.810835316785674
1724515500000,1.3887657713559671,1.3887657713559671,2.7775315427119343
1724515530000,1.5674412209542143,1.4574453457995327,3.024886566753747
1724515560000,1.5362821970830591,1.456475329702121,2.99275752678518
1724515590000,1.4855879848542493,1.4855879848542493,2.9711759697084985
1724515620000,1.4202206487732587,1.4202206487732587,2.8404412975465174
1724515650000,1.5342853770801368,1.4162634249970494,2.9505488020771864
1724515680000,1.4399007576093217,1.4399007576093217,2.8798015152186434
1724515710000,1.4034023023383717,1.4034023023383717,2.8068046046767434
1724515740000,1.5018186084711955,1.5018186084711955,3.003637216942391
1724515770000,1.5291536466990225,1.4405070584845865,2.969660705183609
1724515800000,1.5402468614832787,1.455849773182825,2.9960966346661038
1724515830000,1.4707985210303762,1.4299430065573102,2.9007415275876864
1724515860000,1.4762871378483116,1.439379959402104,2.9156670972504157
1724515890000,1.4831686839526448,1.377228063670313,2.860396747622958
1724515920000,1.4868250777829788,1.4317574823095351,2.918582560092514
1724515950000,1.388028785581584,1.388028785581584,2.776057571163168
1724515980000,1.3860887096774195,1.4112903225806452,2.797379032258065
1724516010000,1.5597664565900136,1.4332989060556882,2.9930653626457016
1724516040000,1.4335401391238956,1.410039481105471,2.8435796202293666
1724516070000,1.4088699275721797,1.4088699275721797,2.8177398551443593
1724516100000,1.4422686276103032,1.4422686276103032,2.8845372552206063
1724516130000,1.5765335371679723,1.4809860500668832,3.0575195872348555
1724516160000,1.440098749628546,1.440098749628546,2.880197499257092
1724516190000,1.4812889812889816,1.4812889812889816,2.962577962577963
1724516220000,1.499063085571518,1.4366021236727045,2.935665209244222
1724516250000,1.5456945965093065,1.3954187329597905,2.941113329469097
1724516280000,1.448035279404989,1.4041554224533228,2.852190701858312
1724516310000,1.407105884717825,1.407105884717825,2.81421176943565
1724516340000,1.470239506758359,1.4465259663267724,2.9167654730851313
1724516370000,1.4955338851102187,1.3931000573629435,2.888633942473162
1724516400000,1.5238436715668697,1.4342058085335245,2.958049480100394
1724516430000,1.3687497326660678,1.3687497326660678,2.7374994653321356
1724516460000,1.3978782888437822,1.3978782888437822,2.7957565776875644
1724516490000,1.5097020558589762,1.420896052573154,2.93059810843213
1724516520000,1.493014823504319,1.4290284739255625,2.9220432974298816
1724516550000,1.458738538482912,1.458738538482912,2.917477076965824
