"time","cpu_request","cpu_limit","cpu_usage"
1724514000000,0.8,1,undefined
1724514030000,0.8,1,undefined
1724514060000,0.8,1,undefined
1724514090000,0.8,1,undefined
1724514120000,0.8,1,undefined
1724514150000,0.8,1,undefined
1724514180000,0.8,1,undefined
1724514210000,0.8,1,undefined
1724514240000,0.8,1,undefined
1724514270000,0.8,1,undefined
1724514300000,0.8,1,undefined
1724514330000,0.8,1,undefined
1724514360000,0.8,1,undefined
1724514390000,0.8,1,undefined
1724514420000,0.8,1,undefined
1724514450000,0.8,1,undefined
1724514480000,0.8,1,undefined
1724514510000,0.8,1,undefined
1724514540000,0.8,1,undefined
1724514570000,0.8,1,undefined
1724514600000,0.8,1,undefined
1724514630000,0.8,1,undefined
1724514660000,0.8,1,undefined
1724514690000,0.8,1,undefined
1724514720000,0.8,1,undefined
1724514750000,0.8,1,undefined
1724514780000,0.8,1,undefined
1724514810000,0.8,1,undefined
1724514840000,0.8,1,undefined
1724514870000,0.8,1,undefined
1724514900000,0.8,1,undefined
1724514930000,0.8,1,undefined
1724514960000,0.8,1,undefined
1724514990000,0.8,1,undefined
1724515020000,0.8,1,undefined
1724515050000,0.8,1,undefined
1724515080000,0.8,1,undefined
1724515110000,0.8,1,undefined
1724515140000,0.8,1,undefined
1724515170000,0.8,1,undefined
1724515200000,0.8,1,undefined
1724515230000,0.8,1,undefined
1724515260000,0.8,1,undefined
1724515290000,0.8,1,undefined
1724515320000,0.8,1,undefined
1724515350000,0.8,1,undefined
1724515380000,0.8,1,undefined
1724515410000,0.8,1,undefined
1724515440000,0.8,1,undefined
1724515470000,0.8,1,undefined
1724515500000,0.8,1,undefined
1724515530000,0.8,1,undefined
1724515560000,0.8,1,undefined
1724515590000,0.8,1,undefined
1724515620000,0.8,1,undefined
1724515650000,0.8,1,undefined
1724515680000,0.8,1,undefined
1724515710000,0.8,1,undefined
1724515740000,0.8,1,undefined
1724515770000,0.8,1,undefined
1724515800000,0.8,1,undefined
1724515830000,0.8,1,undefined
1724515860000,0.8,1,undefined
1724515890000,0.8,1,undefined
1724515920000,0.8,1,undefined
1724515950000,0.8,1,undefined
1724515980000,0.8,1,undefined
1724516010000,0.8,1,undefined
1724516040000,0.8,1,undefined
1724516070000,0.8,1,undefined
1724516100000,0.8,1,undefined
1724516130000,0.8,1,undefined
1724516160000,0.8,1,undefined
1724516190000,0.8,1,undefined
1724516220000,0.8,1,undefined
1724516250000,0.8,1,undefined
1724516280000,0.8,1,undefined
1724516310000,0.8,1,undefined
1724516340000,0.8,1,undefined
1724516370000,0.8,1,undefined
1724516400000,0.8,1,undefined
1724516430000,0.8,1,undefined
1724516460000,0.8,1,undefined
1724516490000,0.8,1,undefined
1724516520000,0.8,1,undefined
1724516550000,0.8,1,undefined
1724516580000,0.8,1,undefined
1724516610000,0.8,1,undefined
1724516640000,0.8,1,undefined
1724516670000,0.8,1,undefined
1724516700000,0.8,1,undefined
1724516730000,0.8,1,undefined
1724516760000,0.8,1,undefined
1724516790000,0.8,1,undefined
1724516820000,0.8,1,undefined
1724516850000,0.8,1,undefined
1724516880000,0.8,1,undefined
1724516910000,0.8,1,undefined
1724516940000,0.8,1,undefined
1724516970000,0.8,1,undefined
1724517000000,0.8,1,undefined
1724517030000,0.8,1,undefined
1724517060000,0.8,1,undefined
1724517090000,0.8,1,undefined
