"time","cpu_request","cpu_limit","cpu_usage"
1724523600000,0.1,0.25,undefined
1724523630000,0.1,0.25,0.0016684202880103646
1724523660000,0.1,0.25,0.0015007962962962959
1724523690000,0.1,0.25,0.0015214783704704032
1724523720000,0.1,0.25,0.001513479886064856
1724523750000,0.1,0.25,0.0015020958071029812
1724523780000,0.1,0.25,0.0014890401746550763
1724523810000,0.1,0.25,0.0014856068955656774
1724523840000,0.1,0.25,0.0014771761326935501
1724523870000,0.1,0.25,0.0014752522864304584
1724523900000,0.1,0.25,0.001503769083022208
1724523930000,0.1,0.25,0.0015124531485198205
1724523960000,0.1,0.25,0.0015224383337997954
1724523990000,0.1,0.25,0.0015218837705511413
1724524020000,0.1,0.25,0.0015244115138592757
1724524050000,0.1,0.25,0.0015133029152748273
1724524080000,0.1,0.25,0.001514076595649847
1724524110000,0.1,0.25,0.0015083628573965549
1724524140000,0.1,0.25,0.0015178574910328325
1724524170000,0.1,0.25,0.00149617511218776
1724524200000,0.1,0.25,0.0012615133197005019
1724524230000,0.1,0.25,0.0015287764846018317
1724524260000,0.1,0.25,0.0015287340515166086
1724524290000,0.1,0.25,0.001508995120084206
1724524320000,0.1,0.25,0.0014950285714285738
1724524350000,0.1,0.25,0.0014776539443593362
1724524380000,0.1,0.25,0.0014854824852071004
1724524410000,0.1,0.25,0.0014961029933132862
1724524440000,0.1,0.25,0.0015058479788165452
1724524470000,0.1,0.25,0.001465416947499111
1724524500000,0.1,0.25,0.001501489223929643
1724524530000,0.1,0.25,0.0014918547605105984
1724524560000,0.1,0.25,0.0012351863555518283
1724524590000,0.1,0.25,0.0014870324325493834
1724524620000,0.1,0.25,0.0014733433942093529
1724524650000,0.1,0.25,0.0014811282252989303
1724524680000,0.1,0.25,0.0014684465722486241
1724524710000,0.1,0.25,0.0014666656891495623
1724524740000,0.1,0.25,0.0010296331500000034
1724524770000,0.1,0.25,0.0014702281609195419
1724524800000,0.1,0.25,0.001510849203700173
1724524830000,0.1,0.25,0.0015241189741846206
1724524860000,0.1,0.25,0.0015105615759408559
1724524890000,0.1,0.25,0.0014865133366557613
1724524920000,0.1,0.25,0.001279377917681676
1724524950000,0.1,0.25,0.0014871308427722978
1724524980000,0.1,0.25,0.0015013891763950725
1724525010000,0.1,0.25,0.001507112690572493
1724525040000,0.1,0.25,0.0014930325560755181
1724525070000,0.1,0.25,0.0014938761583824746
1724525100000,0.1,0.25,0.001268598948542312
1724525130000,0.1,0.25,0.0015163740761054063
1724525160000,0.1,0.25,0.001184777498398276
1724525190000,0.1,0.25,0.0014968185363392935
1724525220000,0.1,0.25,0.0015134013176157108
1724525250000,0.1,0.25,0.0014992951432961498
1724525280000,0.1,0.25,0.0015216890034904478
1724525310000,0.1,0.25,0.0014952436557391846
1724525340000,0.1,0.25,0.001490379809101186
1724525370000,0.1,0.25,0.001487389283366203
1724525400000,0.1,0.25,0.001479837668613688
1724525430000,0.1,0.25,0.0015057300324365632
1724525460000,0.1,0.25,0.0015098872398961484
1724525490000,0.1,0.25,0.0014774826651009292
1724525520000,0.1,0.25,0.001475010154962082
1724525550000,0.1,0.25,0.0014687158953638523
1724525580000,0.1,0.25,0.001480484594927681
1724525610000,0.1,0.25,0.0014786637128535608
1724525640000,0.1,0.25,0.0015006640435695654
1724525670000,0.1,0.25,0.0015062085089541963
1724525700000,0.1,0.25,0.0014943442708624942
