"time","receive_packets_dropped","transmit_packets_dropped","total_packets_dropped"
1724528940000,0,0,0
1724528970000,0,0,0
1724529000000,0,0,0
1724529030000,0,0,0
1724529060000,0,0,0
1724529090000,0,0,0
1724529120000,0,0,0
1724529150000,0,0,0
1724529180000,0,0,0
1724529210000,0,0,0
1724529240000,0,0,0
1724529270000,0,0,0
1724529300000,0,0,0
1724529330000,0,0,0
1724529360000,0,0,0
1724529390000,0,0,0
1724529420000,0,0,0
1724529450000,0,0,0
1724529480000,0,0,0
1724529510000,0,0,0
1724529540000,0,0,0
1724529570000,0,0,0
1724529600000,0,0,0
1724529630000,0,0,0
1724529660000,0,0,0
1724529690000,0,0,0
1724529720000,0,0,0
1724529750000,0,0,0
1724529780000,0,0,0
1724529810000,0,0,0
1724529840000,0,0,0
1724529870000,0,0,0
1724529900000,0,0,0
1724529930000,0,0,0
1724529960000,0,0,0
1724529990000,0,0,0
1724530020000,0,0,0
1724530050000,0,0,0
1724530080000,0,0,0
1724530110000,0,0,0
1724530140000,0,0,0
1724530170000,0,0,0
1724530200000,0,0,0
1724530230000,0,0,0
1724530260000,0,0,0
1724530290000,0,0,0
1724530320000,0,0,0
1724530350000,0,0,0
1724530380000,0,0,0
1724530410000,0,0,0
1724530440000,0,0,0
1724530470000,0,0,0
1724530500000,0,0,0
1724530530000,0,0,0
1724530560000,0,0,0
1724530590000,0,0,0
1724530620000,0,0,0
1724530650000,0,0,0
1724530680000,0,0,0
1724530710000,0,0,0
1724530740000,0,0,0
1724530770000,0,0,0
1724530800000,0,0,0
1724530830000,0,0,0
1724530860000,0,0,0
1724530890000,0,0,0
1724530920000,0,0,0
1724530950000,0,0,0
1724530980000,0,0,0
1724531010000,0,0,0
1724531040000,0,0,0
1724531070000,0,0,0
1724531100000,0,0,0
1724531130000,0,0,0
1724531160000,0,0,0
1724531190000,0,0,0
1724531220000,0,0,0
1724531250000,0,0,0
1724531280000,0,0,0
1724531310000,0,0,0
1724531340000,0,0,0
1724531370000,0,0,0
1724531400000,0,0,0
1724531430000,0,0,0
1724531460000,0,0,0
1724531490000,0,0,0
1724531520000,0,0,0
1724531550000,0,0,0
1724531580000,0,0,0
1724531610000,0,0,0
1724531640000,0,0,0
1724531670000,0,0,0
1724531700000,0,0,0
1724531730000,0,0,0
1724531760000,0,0,0
1724531790000,0,0,0
1724531820000,0,0,0
1724531850000,0,0,0
1724531880000,0,0,0
1724531910000,0,0,0
1724531940000,0,0,0
1724531970000,0,0,0
1724532000000,0,0,0
1724532030000,0,0,0
1724532060000,0,0,0
1724532090000,0,0,0
1724532120000,0,0,0
1724532150000,0,0,0
1724532180000,0,0,0
1724532210000,0,0,0
1724532240000,0,0,0
1724532270000,0,0,0
1724532300000,0,0,0
1724532330000,0,0,0
1724532360000,0,0,0
1724532390000,0,0,0
1724532420000,0,0,0
1724532450000,0,0,0
1724532480000,0,0,0
1724532510000,0,0,0
1724532540000,0,0,0
1724532570000,0,0,0
1724532600000,0,0,0
1724532630000,0,0,0
1724532660000,0,0,0
1724532690000,0,0,0
1724532720000,0,0,0
1724532750000,0,0,0
1724532780000,0,0,0
1724532810000,0,0,0
1724532840000,0,0,0
1724532870000,0,0,0
1724532900000,0,0,0
1724532930000,0,0,0
1724532960000,0,0,0
1724532990000,0,0,0
1724533020000,0,0,0
1724533050000,0,0,0
1724533080000,0,0,0
1724533110000,0,0,0
1724533140000,0,0,0
1724533170000,0,0,0
1724533200000,0,0,0
1724533230000,0,0,0
1724533260000,0,0,0
1724533290000,0,0,0
1724533320000,0,0,0
1724533350000,0,0,0
1724533380000,0,0,0
1724533410000,0,0,0
1724533440000,0,0,0
1724533470000,0,0,0
1724533500000,0,0,0
1724533530000,0,0,0
1724533560000,0,0,0
1724533590000,0,0,0
1724533620000,0,0,0
1724533650000,0,0,0
1724533680000,0,0,0
1724533710000,0,0,0
1724533740000,0,0,0
1724533770000,0,0,0
1724533800000,0,0,0
1724533830000,0,0,0
1724533860000,0,0,0
1724533890000,0,0,0
1724533920000,0,0,0
1724533950000,0,0,0
1724533980000,0,0,0
1724534010000,0,0,0
1724534040000,0,0,0
1724534070000,0,0,0
1724534100000,0,0,0
1724534130000,0,0,0
1724534160000,0,0,0
1724534190000,0,0,0
1724534220000,0,0,0
1724534250000,0,0,0
1724534280000,0,0,0
1724534310000,0,0,0
1724534340000,0,0,0
1724534370000,0,0,0
1724534400000,0,0,0
1724534430000,0,0,0
1724534460000,0,0,0
1724534490000,0,0,0
1724534520000,0,0,0
1724534550000,0,0,0
1724534580000,0,0,0
1724534610000,0,0,0
1724534640000,0,0,0
1724534670000,0,0,0
1724534700000,0,0,0
1724534730000,0,0,0
1724534760000,0,0,0
1724534790000,0,0,0
1724534820000,0,0,0
1724534850000,0,0,0
1724534880000,0,0,0
1724534910000,0,0,0
1724534940000,0,0,0
1724534970000,0,0,0
1724535000000,0,0,0
1724535030000,0,0,0
1724535060000,0,0,0
1724535090000,0,0,0
1724535120000,0,0,0
1724535150000,0,0,0
1724535180000,0,0,0
1724535210000,0,0,0
1724535240000,0,0,0
1724535270000,0,0,0
1724535300000,0,0,0
1724535330000,0,0,0
1724535360000,0,0,0
1724535390000,0,0,0
1724535420000,0,0,0
1724535450000,0,0,0
1724535480000,0,0,0
1724535510000,0,0,0
1724535540000,0,0,0
1724535570000,0,0,0
1724535600000,0,0,0
1724535630000,0,0,0
1724535660000,0,0,0
1724535690000,0,0,0
1724535720000,0,0,0
1724535750000,0,0,0
1724535780000,0,0,0
1724535810000,0,0,0
1724535840000,0,0,0
1724535870000,0,0,0
1724535900000,0,0,0
1724535930000,0,0,0
1724535960000,0,0,0
1724535990000,0,0,0
1724536020000,0,0,0
1724536050000,0,0,0
1724536080000,0,0,0
1724536110000,0,0,0
1724536140000,0,0,0
1724536170000,0,0,0
1724536200000,0,0,0
1724536230000,0,0,0
1724536260000,0,0,0
1724536290000,0,0,0
1724536320000,0,0,0
1724536350000,0,0,0
1724536380000,0,0,0
1724536410000,0,0,0
1724536440000,0,0,0
1724536470000,0,0,0
1724536500000,0,0,0
1724536530000,0,0,0
1724536560000,0,0,0
1724536590000,0,0,0
1724536620000,0,0,0
1724536650000,0,0,0
1724536680000,0,0,0
1724536710000,0,0,0
1724536740000,0,0,0
1724536770000,0,0,0
1724536800000,0,0,0
1724536830000,0,0,0
1724536860000,0,0,0
1724536890000,0,0,0
1724536920000,0,0,0
1724536950000,0,0,0
1724536980000,0,0,0
1724537010000,0,0,0
1724537040000,0,0,0
1724537070000,0,0,0
1724537100000,0,0,0
1724537130000,0,0,0
1724537160000,0,0,0
1724537190000,0,0,0
1724537220000,0,0,0
1724537250000,0,0,0
1724537280000,0,0,0
1724537310000,0,0,0
1724537340000,0,0,0
1724537370000,0,0,0
1724537400000,0,0,0
1724537430000,0,0,0
1724537460000,0,0,0
1724537490000,0,0,0
1724537520000,0,0,0
1724537550000,0,0,0
1724537580000,0,0,0
1724537610000,0,0,0
1724537640000,0,0,0
1724537670000,0,0,0
1724537700000,0,0,0
1724537730000,0,0,0
1724537760000,0,0,0
1724537790000,0,0,0
1724537820000,0,0,0
1724537850000,0,0,0
1724537880000,0,0,0
1724537910000,0,0,0
1724537940000,0,0,0
1724537970000,0,0,0
1724538000000,0,0,0
1724538030000,0,0,0
1724538060000,0,0,0
1724538090000,0,0,0
1724538120000,0,0,0
