"time","receive_packets","transmit_packets","total_packets"
1724526660000,18.030709997389717,13.163995475506828,31.194705472896544
1724526690000,18.1529698498723,13.111954151871927,31.264924001744227
1724526720000,0.3113294784754453,0.028302679861404115,0.3396321583368494
1724526750000,0.02390800200827217,0.02390800200827217,0.04781600401654434
1724526780000,0.021499365768709824,0,0.021499365768709824
1724526810000,0.1523494461009424,0.021764206585848912,0.1741136526867913
1724526840000,0.09574187989181167,0,0.09574187989181167
1724526870000,0,0,0
1724526900000,0.3759840206791212,0.39948302197156627,0.7754670426506874
1724526930000,0.17041166589575674,0.04868904739878764,0.2191007132945444
1724526960000,0.10702996341611679,0,0.10702996341611679
1724526990000,0,0.027204222095269185,0.027204222095269185
1724527020000,0,0,0
1724527050000,0,0,0
1724527080000,0.09407780234253728,0,0.09407780234253728
1724527110000,0,0,0
1724527140000,0,0,0
1724527170000,0.11151368151685508,0,0.11151368151685508
1724527200000,0.14705449839710596,0,0.14705449839710596
1724527230000,0,0,0
1724527260000,0,0.019751525805368465,0.019751525805368465
1724527290000,0.10016527269995493,0,0.10016527269995493
1724527320000,0,0,0
1724527350000,0,0,0
1724527380000,0,0,0
1724527410000,0.09621629422942775,0,0.09621629422942775
1724527440000,0,0,0
1724527470000,0,0,0
1724527500000,0,0,0
1724527530000,0,0,0
1724527560000,0.09002115497141829,0,0.09002115497141829
1724527590000,0,0,0
1724527620000,0,0,0
1724527650000,0.09629041188223682,0,0.09629041188223682
1724527680000,0,0,0
1724527710000,0.022027887305328547,0,0.022027887305328547
1724527740000,0,0,0
1724527770000,0,0,0
1724527800000,0.09151014618745854,0,0.09151014618745854
1724527830000,0,0,0
1724527860000,0,0.020981515285033888,0.020981515285033888
1724527890000,0,0,0
1724527920000,0.10877250231141566,0,0.10877250231141566
1724527950000,0,0,0
1724527980000,0,0,0
1724528010000,0.0905182167911292,0,0.0905182167911292
1724528040000,0,0,0
1724528070000,0,0,0
1724528100000,0,0,0
1724528130000,0.08135372600065084,0,0.08135372600065084
1724528160000,0.0782151307170372,0,0.0782151307170372
1724528190000,0,0,0
1724528220000,0,0,0
1724528250000,0.08605666831608615,0,0.08605666831608615
1724528280000,0.07963209969938884,0,0.07963209969938884
1724528310000,0,0,0
1724528340000,0,0,0
1724528370000,0,0,0
1724528400000,0.1360544217687075,0,0.1360544217687075
1724528430000,0,0,0
1724528460000,0,0,0
1724528490000,0,0,0
1724528520000,0,0,0
1724528550000,0.04582636390715578,0,0.04582636390715578
1724528580000,0.050700392424500945,0,0.050700392424500945
1724528610000,0,0,0
1724528640000,0.09535615523982073,0,0.09535615523982073
1724528670000,0.07021978793624042,0,0.07021978793624042
1724528700000,0,0,0
1724528730000,0.12111229532022091,0,0.12111229532022091
1724528760000,0.08736485748607621,0,0.08736485748607621
1724528790000,0,0,0
1724528820000,0,0,0
1724528850000,0.08155442738597672,0,0.08155442738597672
1724528880000,0.13015749056358195,0,0.13015749056358195
1724528910000,0,0,0
1724528940000,0,0,0
1724528970000,0.0940402021864347,0,0.0940402021864347
1724529000000,0.09455055225148683,0,0.09455055225148683
1724529030000,0.041806020066889625,0,0.041806020066889625
1724529060000,0,0,0
