"time","receive_packets_dropped","transmit_packets_dropped","total_packets_dropped"
1724521920000,0,0,0
1724521950000,0,0,0
1724521980000,0,0,0
1724522010000,0,0,0
1724522040000,0,0,0
1724522070000,0,0,0
1724522100000,0,0,0
1724522130000,0,0,0
1724522160000,0,0,0
1724522190000,0,0,0
1724522220000,0,0,0
1724522250000,0,0,0
1724522280000,0,0,0
1724522310000,0,0,0
1724522340000,0,0,0
1724522370000,0,0,0
1724522400000,0,0,0
1724522430000,0,0,0
1724522460000,0,0,0
1724522490000,0,0,0
1724522520000,0,0,0
1724522550000,0,0,0
1724522580000,0,0,0
1724522610000,0,0,0
1724522640000,0,0,0
1724522670000,0,0,0
1724522700000,0,0,0
1724522730000,0,0,0
1724522760000,0,0,0
1724522790000,0,0,0
1724522820000,0,0,0
1724522850000,0,0,0
1724522880000,0,0,0
1724522910000,0,0,0
1724522940000,0,0,0
1724522970000,0,0,0
1724523000000,0,0,0
1724523030000,0,0,0
1724523060000,0,0,0
1724523090000,0,0,0
1724523120000,0,0,0
1724523150000,0,0,0
1724523180000,0,0,0
1724523210000,0,0,0
1724523240000,0,0,0
1724523270000,0,0,0
1724523300000,0,0,0
1724523330000,0,0,0
1724523360000,0,0,0
1724523390000,0,0,0
1724523420000,0,0,0
1724523450000,0,0,0
1724523480000,0,0,0
1724523510000,0,0,0
1724523540000,0,0,0
1724523570000,0,0,0
1724523600000,0,0,0
1724523630000,0,0,0
1724523660000,0,0,0
1724523690000,0,0,0
1724523720000,0,0,0
1724523750000,0,0,0
1724523780000,0,0,0
1724523810000,0,0,0
1724523840000,0,0,0
1724523870000,0,0,0
1724523900000,0,0,0
1724523930000,0,0,0
1724523960000,0,0,0
1724523990000,0,0,0
1724524020000,0,0,0
1724524050000,0,0,0
1724524080000,0,0,0
1724524110000,0,0,0
1724524140000,0,0,0
1724524170000,0,0,0
1724524200000,0,0,0
1724524230000,0,0,0
1724524260000,0,0,0
1724524290000,0,0,0
1724524320000,0,0,0
1724524350000,0,0,0
1724524380000,0,0,0
1724524410000,0,0,0
1724524440000,0,0,0
1724524470000,0,0,0
1724524500000,0,0,0
1724524530000,0,0,0
1724524560000,0,0,0
1724524590000,0,0,0
1724524620000,0,0,0
1724524650000,0,0,0
1724524680000,0,0,0
1724524710000,0,0,0
1724524740000,0,0,0
1724524770000,0,0,0
1724524800000,0,0,0
1724524830000,0,0,0
1724524860000,0,0,0
1724524890000,0,0,0
1724524920000,0,0,0
1724524950000,0,0,0
1724524980000,0,0,0
1724525010000,0,0,0
1724525040000,0,0,0
1724525070000,0,0,0
1724525100000,0,0,0
1724525130000,0,0,0
1724525160000,0,0,0
1724525190000,0,0,0
1724525220000,0,0,0
1724525250000,0,0,0
1724525280000,0,0,0
1724525310000,0,0,0
1724525340000,0,0,0
1724525370000,0,0,0
1724525400000,0,0,0
1724525430000,0,0,0
1724525460000,0,0,0
1724525490000,0,0,0
1724525520000,0,0,0
1724525550000,0,0,0
1724525580000,0,0,0
1724525610000,0,0,0
1724525640000,0,0,0
1724525670000,0,0,0
1724525700000,0,0,0
1724525730000,0,0,0
1724525760000,0,0,0
1724525790000,0,0,0
1724525820000,0,0,0
1724525850000,0,0,0
1724525880000,0,0,0
1724525910000,0,0,0
1724525940000,0,0,0
1724525970000,0,0,0
1724526000000,0,0,0
1724526030000,0,0,0
1724526060000,0,0,0
1724526090000,0,0,0
1724526120000,0,0,0
1724526150000,0,0,0
1724526180000,0,0,0
1724526210000,0,0,0
1724526240000,0,0,0
1724526270000,0,0,0
1724526300000,0,0,0
1724526330000,0,0,0
1724526360000,0,0,0
1724526390000,0,0,0
1724526420000,0,0,0
1724526450000,0,0,0
1724526480000,0,0,0
1724526510000,0,0,0
1724526540000,0,0,0
1724526570000,0,0,0
1724526600000,0,0,0
1724526630000,0,0,0
1724526660000,0,0,0
1724526690000,0,0,0
1724526720000,0,0,0
1724526750000,0,0,0
1724526780000,0,0,0
1724526810000,0,0,0
1724526840000,0,0,0
1724526870000,0,0,0
1724526900000,0,0,0
1724526930000,0,0,0
1724526960000,0,0,0
1724526990000,0,0,0
1724527020000,0,0,0
1724527050000,0,0,0
1724527080000,0,0,0
1724527110000,0,0,0
1724527140000,0,0,0
1724527170000,0,0,0
1724527200000,0,0,0
1724527230000,0,0,0
1724527260000,0,0,0
1724527290000,0,0,0
1724527320000,0,0,0
1724527350000,0,0,0
1724527380000,0,0,0
1724527410000,0,0,0
1724527440000,0,0,0
1724527470000,0,0,0
1724527500000,0,0,0
1724527530000,0,0,0
1724527560000,0,0,0
1724527590000,0,0,0
1724527620000,0,0,0
1724527650000,0,0,0
1724527680000,0,0,0
1724527710000,0,0,0
1724527740000,0,0,0
1724527770000,0,0,0
1724527800000,0,0,0
1724527830000,0,0,0
1724527860000,0,0,0
1724527890000,0,0,0
1724527920000,0,0,0
1724527950000,0,0,0
1724527980000,0,0,0
1724528010000,0,0,0
1724528040000,0,0,0
1724528070000,0,0,0
1724528100000,0,0,0
1724528130000,0,0,0
1724528160000,0,0,0
1724528190000,0,0,0
1724528220000,0,0,0
1724528250000,0,0,0
1724528280000,0,0,0
1724528310000,0,0,0
1724528340000,0,0,0
1724528370000,0,0,0
1724528400000,0,0,0
1724528430000,0,0,0
1724528460000,0,0,0
1724528490000,0,0,0
1724528520000,0,0,0
1724528550000,0,0,0
1724528580000,0,0,0
1724528610000,0,0,0
1724528640000,0,0,0
1724528670000,0,0,0
1724528700000,0,0,0
1724528730000,0,0,0
1724528760000,0,0,0
1724528790000,0,0,0
1724528820000,0,0,0
1724528850000,0,0,0
1724528880000,0,0,0
1724528910000,0,0,0
1724528940000,0,0,0
1724528970000,0,0,0
1724529000000,0,0,0
1724529030000,0,0,0
1724529060000,0,0,0
1724529090000,0,0,0
1724529120000,0,0,0
1724529150000,0,0,0
1724529180000,0,0,0
1724529210000,0,0,0
1724529240000,0,0,0
1724529270000,0,0,0
1724529300000,0,0,0
1724529330000,0,0,0
1724529360000,0,0,0
1724529390000,0,0,0
1724529420000,0,0,0
1724529450000,0,0,0
1724529480000,0,0,0
1724529510000,0,0,0
1724529540000,0,0,0
1724529570000,0,0,0
1724529600000,0,0,0
1724529630000,0,0,0
1724529660000,0,0,0
1724529690000,0,0,0
1724529720000,0,0,0
1724529750000,0,0,0
1724529780000,0,0,0
1724529810000,0,0,0
1724529840000,0,0,0
1724529870000,0,0,0
1724529900000,0,0,0
1724529930000,0,0,0
1724529960000,0,0,0
1724529990000,0,0,0
1724530020000,0,0,0
1724530050000,0,0,0
1724530080000,0,0,0
1724530110000,0,0,0
1724530140000,0,0,0
1724530170000,0,0,0
1724530200000,0,0,0
1724530230000,0,0,0
1724530260000,0,0,0
1724530290000,0,0,0
1724530320000,0,0,0
1724530350000,0,0,0
1724530380000,0,0,0
1724530410000,0,0,0
1724530440000,0,0,0
1724530470000,0,0,0
1724530500000,0,0,0
1724530530000,0,0,0
1724530560000,0,0,0
1724530590000,0,0,0
1724530620000,0,0,0
1724530650000,0,0,0
1724530680000,0,0,0
1724530710000,0,0,0
1724530740000,0,0,0
1724530770000,0,0,0
1724530800000,0,0,0
1724530830000,0,0,0
1724530860000,0,0,0
1724530890000,0,0,0
1724530920000,0,0,0
1724530950000,0,0,0
1724530980000,0,0,0
1724531010000,0,0,0
1724531040000,0,0,0
1724531070000,0,0,0
1724531100000,0,0,0
1724531130000,0,0,0
1724531160000,0,0,0
1724531190000,0,0,0
1724531220000,0,0,0
1724531250000,0,0,0
1724531280000,0,0,0
1724531310000,0,0,0
1724531340000,0,0,0
1724531370000,0,0,0
1724531400000,0,0,0
1724531430000,0,0,0
1724531460000,0,0,0
