time,pod,namespace,cpu_request,cpu_limit,cpu_usage,memory_request,memory_limit,memory_usage,receive_packets,transmit_packets,total_packets,receive_packets_dropped,transmit_packets_dropped,total_packets_dropped
1724515650000,amf1,free5gc,0.1,0.25,undefined,104857600.0,536870912.0,undefined,,,,,,
1724515680000,amf1,free5gc,0.1,0.25,undefined,104857600.0,536870912.0,undefined,,,,,,
1724515710000,amf1,free5gc,0.1,0.25,undefined,104857600.0,536870912.0,undefined,,,,,,
1724515740000,amf1,free5gc,0.1,0.25,undefined,104857600.0,536870912.0,undefined,,,,,,
1724515770000,amf1,free5gc,0.1,0.25,undefined,104857600.0,536870912.0,undefined,,,,,,
1724515800000,amf1,free5gc,0.1,0.25,undefined,104857600.0,536870912.0,undefined,,,,,,
1724515830000,amf1,free5gc,0.1,0.25,undefined,104857600.0,536870912.0,3518464,,,,,,
1724515860000,amf1,free5gc,0.1,0.25,0.19404650478178187,104857600.0,536870912.0,435544064,,,,,,
1724515890000,amf1,free5gc,0.1,0.25,0.24990171985244802,104857600.0,536870912.0,462954496,,,,,,
1724515920000,amf1,free5gc,0.1,0.25,0.2500701301219835,104857600.0,536870912.0,446050304,,,,,,
1724515950000,amf1,free5gc,0.1,0.25,0.2500243231311372,104857600.0,536870912.0,433729536,,,,,,
1724515980000,amf1,free5gc,0.1,0.25,0.21630440179933566,104857600.0,536870912.0,435744768,,,,,,
1724516010000,amf1,free5gc,0.1,0.25,0.249690384861642,104857600.0,536870912.0,473567232,,,,,,
1724516040000,amf1,free5gc,0.1,0.25,0.24988835644602742,104857600.0,536870912.0,475295744,,,,,,
1724516070000,amf1,free5gc,0.1,0.25,0.25031236137320656,104857600.0,536870912.0,536420352,,,,,,
1724516100000,amf1,free5gc,0.1,0.25,0.24989017553981174,104857600.0,536870912.0,355766272,,,,,,
1724516130000,amf1,free5gc,0.1,0.25,0.2499680374224344,104857600.0,536870912.0,450338816,,,,,,
1724516160000,amf1,free5gc,0.1,0.25,0.2501394724501431,104857600.0,536870912.0,180617216,,,,,,
1724516190000,amf1,free5gc,0.1,0.25,0.24972591567567548,104857600.0,536870912.0,228544512,,,,,,
1724516220000,amf1,free5gc,0.1,0.25,0.21060199888358877,104857600.0,536870912.0,85237760,,,,,,
1724516250000,amf1,free5gc,0.1,0.25,0.03902015736188576,104857600.0,536870912.0,85237760,,,,,,
1724516280000,amf1,free5gc,0.1,0.25,0.0000028766250514286538,104857600.0,536870912.0,85237760,,,,,,
1724516310000,amf1,free5gc,0.1,0.25,0,104857600.0,536870912.0,85237760,,,,,,
1724516340000,amf1,free5gc,0.1,0.25,0.000116476387816065,104857600.0,536870912.0,85626880,,,,,,
1724516370000,amf1,free5gc,0.1,0.25,0.00010885344239727415,104857600.0,536870912.0,85626880,,,,,,
1724516400000,amf1,free5gc,0.1,0.25,0.000023637240747097368,104857600.0,536870912.0,85184512,,,,,,
1724516430000,amf1,free5gc,0.1,0.25,0.000021699753844850594,104857600.0,536870912.0,85184512,,,,,,
1724516460000,amf1,free5gc,0.1,0.25,0,104857600.0,536870912.0,85184512,,,,,,
1724516490000,amf1,free5gc,0.1,0.25,0.00012040190562322263,104857600.0,536870912.0,84729856,,,,,,
1724516520000,amf1,free5gc,0.1,0.25,0.0000020093181028699424,104857600.0,536870912.0,84729856,,,,,,
1724516550000,amf1,free5gc,0.1,0.25,0.0000031376240467196257,104857600.0,536870912.0,84729856,,,,,,
1724516580000,amf1,free5gc,0.1,0.25,0.00011059111314475744,104857600.0,536870912.0,84783104,,,,,,
1724516610000,amf1,free5gc,0.1,0.25,0.00007610442533621144,104857600.0,536870912.0,84783104,,,,,,
1724516640000,amf1,free5gc,0.1,0.25,0.00000927108166825991,104857600.0,536870912.0,84725760,,,,,,
1724516670000,amf1,free5gc,0.1,0.25,0.000008309664731460988,104857600.0,536870912.0,84725760,,,,,,
1724516700000,amf1,free5gc,0.1,0.25,0.00009158610748851703,104857600.0,536870912.0,84783104,,,,,,
1724516730000,amf1,free5gc,0.1,0.25,0,104857600.0,536870912.0,84783104,,,,,,
1724516760000,amf1,free5gc,0.1,0.25,0,104857600.0,536870912.0,84783104,,,,,,
1724516790000,amf1,free5gc,0.1,0.25,0.0000037675108373073393,104857600.0,536870912.0,84783104,,,,,,
1724516820000,amf1,free5gc,0.1,0.25,0.0000801669730824498,104857600.0,536870912.0,84783104,,,,,,
1724516850000,amf1,free5gc,0.1,0.25,0.00008502909999990038,104857600.0,536870912.0,84783104,,,,,,
1724516880000,amf1,free5gc,0.1,0.25,0.0000026666955035684422,104857600.0,536870912.0,84783104,,,,,,
1724516910000,amf1,free5gc,0.1,0.25,0.0000028564411615269693,104857600.0,536870912.0,84783104,,,,,,
1724516940000,amf1,free5gc,0.1,0.25,0.00006500835363738812,104857600.0,536870912.0,84815872,,,,,,
1724516970000,amf1,free5gc,0.1,0.25,0.00007725002344515454,104857600.0,536870912.0,84815872,,,,,,
1724517000000,amf1,free5gc,0.1,0.25,0,104857600.0,536870912.0,84815872,,,,,,
1724517030000,amf1,free5gc,0.1,0.25,0.0000032428705494359044,104857600.0,536870912.0,84815872,,,,,,
1724517060000,amf1,free5gc,0.1,0.25,0.00007867482938594748,104857600.0,536870912.0,84832256,,,,,,
1724517090000,amf1,free5gc,0.1,0.25,0,104857600.0,536870912.0,84832256,,,,,,
1724517120000,amf1,free5gc,0.1,0.25,0,104857600.0,536870912.0,84832256,,,,,,
1724517150000,amf1,free5gc,0.1,0.25,0.000004269922942404458,104857600.0,536870912.0,84832256,,,,,,
1724517180000,amf1,free5gc,0.1,0.25,0.00005721109419348776,104857600.0,536870912.0,84836352,,,,,,
1724517210000,amf1,free5gc,0.1,0.25,0.00009935926482108106,104857600.0,536870912.0,84836352,,,,,,
1724517240000,amf1,free5gc,0.1,0.25,0.000004367658238698378,104857600.0,536870912.0,84836352,,,,,,
1724517270000,amf1,free5gc,0.1,0.25,0.0000043557151359263246,104857600.0,536870912.0,84836352,,,,,,
1724517300000,amf1,free5gc,0.1,0.25,0.00006449725328617513,104857600.0,536870912.0,84836352,,,,,,
1724517330000,amf1,free5gc,0.1,0.25,0.00006893407703366855,104857600.0,536870912.0,84836352,,,,,,
1724517360000,amf1,free5gc,0.1,0.25,0,104857600.0,536870912.0,84836352,,,,,,
1724517390000,amf1,free5gc,0.1,0.25,0.00000665727198864585,104857600.0,536870912.0,84836352,,,,,,
1724517420000,amf1,free5gc,0.1,0.25,0.00006840453067380792,104857600.0,536870912.0,84836352,,,,,,
1724517450000,amf1,free5gc,0.1,0.25,0.00006989015987701635,104857600.0,536870912.0,84836352,,,,,,
1724517480000,amf1,free5gc,0.1,0.25,0.000003650845884614715,104857600.0,536870912.0,84836352,,,,,,
1724517510000,amf1,free5gc,0.1,0.25,0.000003976027373617132,104857600.0,536870912.0,84836352,,,,,,
1724517540000,amf1,free5gc,0.1,0.25,0.0000776784187790716,104857600.0,536870912.0,84836352,,,,,,
1724517570000,amf1,free5gc,0.1,0.25,0.00007176145408945509,104857600.0,536870912.0,84836352,,,,,,
1724517600000,amf1,free5gc,0.1,0.25,0.0000016343519219794078,104857600.0,536870912.0,84836352,,,,,,
1724517630000,amf1,free5gc,0.1,0.25,0.000004382381069602243,104857600.0,536870912.0,84836352,,,,,,
1724517660000,amf1,free5gc,0.1,0.25,0,104857600.0,536870912.0,84836352,,,,,,
1724517690000,amf1,free5gc,0.1,0.25,0.00011300274239597563,104857600.0,536870912.0,84836352,,,,,,
1724517720000,amf1,free5gc,0.1,0.25,0.0000045454899517196184,104857600.0,536870912.0,84836352,,,,,,
1724517750000,amf1,free5gc,0.1,0.25,0.0000067013039704430265,104857600.0,536870912.0,84836352,,,,,,
1724517780000,amf1,free5gc,0.1,0.25,0.00010387309460174865,104857600.0,536870912.0,84836352,,,,,,
1724517810000,amf1,free5gc,0.1,0.25,0.00009102371763641938,104857600.0,536870912.0,84836352,,,,,,
1724517840000,amf1,free5gc,0.1,0.25,0,104857600.0,536870912.0,84836352,,,,,,
1724517870000,amf1,free5gc,0.1,0.25,0.00000285001062279911,104857600.0,536870912.0,84836352,,,,,,
1724517900000,amf1,free5gc,0.1,0.25,0.00008865234138212018,104857600.0,536870912.0,84836352,,,,,,
1724517930000,amf1,free5gc,0.1,0.25,0.00008472147688606707,104857600.0,536870912.0,84836352,,,,,,
1724517960000,amf1,free5gc,0.1,0.25,0.000004644148407722932,104857600.0,536870912.0,84836352,,,,,,
1724517990000,amf1,free5gc,0.1,0.25,0,104857600.0,536870912.0,84836352,,,,,,
1724518020000,amf1,free5gc,0.1,0.25,0.00006460867828025148,104857600.0,536870912.0,84836352,,,,,,
1724518050000,amf1,free5gc,0.1,0.25,0.00007585794560058927,104857600.0,536870912.0,84836352,,,,,,
1724518080000,amf1,free5gc,0.1,0.25,0.0000017865692328162966,104857600.0,536870912.0,84836352,,,,,,
1724518110000,amf1,free5gc,0.1,0.25,0.0000017639375532348739,104857600.0,536870912.0,84836352,,,,,,
1724518140000,amf1,free5gc,0.1,0.25,0,104857600.0,536870912.0,84836352,,,,,,
1724518170000,amf1,free5gc,0.1,0.25,0.00005379313956514798,104857600.0,536870912.0,84836352,,,,,,
1724518200000,amf1,free5gc,0.1,0.25,0.000008021350576554203,104857600.0,536870912.0,84836352,,,,,,
1724518230000,amf1,free5gc,0.1,0.25,0.000007952624788411403,104857600.0,536870912.0,84836352,,,,,,
1724518260000,amf1,free5gc,0.1,0.25,0.0000568421434850749,104857600.0,536870912.0,84836352,,,,,,
1724518290000,amf1,free5gc,0.1,0.25,0.00007332230000010043,104857600.0,536870912.0,84836352,,,,,,
